,Question,Answer,Source
94,What is the efficacy of medications for the treatment of autism spectrum disorder (ASD)?,"Adverse effects and treatment efficacyChildren with ASD appear sensitive to medication and may experience serious adverse effects that outweigh any beneficialeffects. For example, children may develop catatonia when treated with haloperidol and other traditional neuroleptics.[185,186] Additionally, Kem et al noted priapism in an adolescent with ASD who was treated with trazodone.[187]Practice guidelines from the American Academy of Pediatrics stress the importance of having some quantifiable means ofassessing the efficacy of medication used for the treatment of children with ASD. Validated, treatment-sensitive rating scalesthat have been used in clinical practice to measure the effects of treatment on maladaptive behavior include the ClinicalGlobal Impression Scale, the Aberrant Behavior Checklist, and the Nisonger Child Behavior Rating Form.[188] emedicine.medscape.com/article/912781-print",medscape
95,What is the role of SSRIs in the treatment of autism spectrum disorder (ASD)?,"Experimental ApproachesVarious interventions, including chiropractic manipulations, are reported to help with ASD. The results of individual casereports, however, cannot be generalized to the overall population; scientific research is needed to investigate whethertreatments truly are generally helpful.",medscape
96,How is serotonin syndrome treatment in autism spectrum disorder (ASD)?,Transcranial magnetic stimulationRepetitive transcranial magnetic stimulation has been reported to alleviate repetitive behaviors and improve socialfunctioning in ASD.[189],medscape
97,What are the possible adverse effects of medications used in the treatment of autism spectrum disorder (ASD)?,"Secretin therapySeveral anecdotal reports suggested that secretin, a gastrointestinal hormone that may function as a neurotransmitter, wasan effective intervention for the symptoms of ASD. This led to several scientific studies of secretin for children with ASD.[190, 191, 192] However, 2 reviews of these trials failed to demonstrate that secretin had a beneficial effect on thesechildren.[193, 194]",medscape
98,What is the role of secretin therapy in the treatment of autism spectrum disorder (ASD)?,Hyperbaric oxygen therapyBeneficial effects from hyperbaric oxygen therapy have been reported in 6 patients with ASD. The risks of this proceduremust be weighed against the benefits for individual patients. Controlled clinical trials and other studies are needed to confirmthe potential value of this intervention.,medscape
99,What is the role of hyperbaric oxygen therapy in the treatment of autism spectrum disorder (ASD)?,"Intranasal oxytocinResearch suggests that administration of a single intranasal dose of the hormone oxytocin increases activity in brain regionsassociated with reward, social perception, and emotional awareness and temporarily improves social information processingin children with ASD.[195, 196]In the study of 17 high-functioning children and adolescents with ASD, brain centers associated with reward and emotionrecognition responded more during social tasks when children received oxytocin instead of a placebo.Although behavioral studies in children and adults suggest that a single dose of intranasal oxytocin improves socialinteraction and comprehension of affective speech, results from clinical trials examining the effect of daily administration ofthe drug have been mixed.",medscape
100,What is the role of intranasal oxytocin in the treatment of autism spectrum disorder (ASD)?,"Specialist ResourcesChildren with ASD and related conditions typically benefit from intensive, thorough evaluation performed by experiencedprofessionals. Intensive diagnostic evaluation and treatment are accomplished quickly and effectively by well-trainedclinicians at well-staffed centers. Valuable resources are listed below.Division of Developmental and Behavioral PediatricsUniversity of Maryland Medical Center737 West Lombard Street, First FloorBaltimore, MD 21201Phone: 410-706-2300Fax: 410-706-5770URL:  Yale Developmental Disabilities ClinicYale Child Study CenterYale University School of Medicine350 George Street, 2nd FloorNew Haven, CT 06511 emedicine.medscape.com/article/912781-print Phone: 203-785-3420 URL: www.autism.fm Seaver Autism Center for Research and TreatmentIcahn School of Medicine at Mount SinaiDepartment of PsychiatryMount Sinai School of Medicine, Box 1230One Gustave L Levy PlaceNew York, NY 10029Phone: 212-241-0961Email: theseavercenter@mssm.eduURL:  Center for Autism and Related DisordersKennedy Krieger InstituteCreamer Family Building3901 Greenspring AvenueBaltimore, MD 21211URL:  Division of Child and Adolescent PsychiatryNeuropsychiatric HospitalUniversity of California at Los Angeles760 Westwood Plaza, Room 48-240Los Angeles, CA 90024-1759Phone: 310-825-9989 (800-825-9989 from outside 310)URL:  Medical Investigation of Neurodevelopmental Disorders (MIND) InstituteUniversity of California Davis Medical Center2825 50th StreetSacramento, CA 95817Phone: 916-703-0280URL:  Strong Center for Developmental DisabilitiesDepartment of PediatricsChildren's Hospital at Strong emedicine.medscape.com/article/912781-print University of Rochester Medical Center601 Elmwood Ave, Box 671Rochester, NY 14642URL:",medscape
101,Which specialist consultations are beneficial to patients with autism spectrum disorder (ASD)?,"ConsultationsNeuropsychological consultation can be helpful to assess intelligence. Deficits in simple and complex problem-solving tasks(verbal and nonverbal), are likely to be demonstrated on the following tests:Wisconsin Card Sorting TestTrail Making TestStanford-Binet Intelligence TestOther consultations include the following:Ophthalmologic consultation - May be indicated to rule out a treatable visual deficit; special lenses are reported tohelp some individuals with ASD.Neurologic consultation with a movement disorder specialist - Indicated to evaluate tics and other movementdisorders when presentInfectious disease consultation - May be helpful to rule out bacterial or fungal infectionsMetabolic consultation - May help to identify any deficienciesImmunologic consultation - May be useful to rule out immune abnormalities. The possible benefits of experimentaltreatments, such as intravenous (IV) immunoglobulin therapy, must be weighed against the risks of experimentaltreatmentsOtolaryngologic consultation - May be indicated to rule out deficits in the auditory apparatus; additionally,audiography is indicated to rule out hearing deficits Guidelines",medscape
102,What are the AACAP guidelines on the assessment and treatment of autism spectrum disorder (ASD)?,"Guidelines SummaryThe American Academy of Child and Adolescent Psychiatry's practice guidelines for the assessment and treatment ofchildren and adolescents with ASD include the following recommendations:[197, 198]Questions about core symptoms of ASD should be a routine part of psychiatric and developmental assessments ofyoung children.[1]If screening reveals significant ASD symptomatology,[127]  a thorough evaluation should be performed and possiblecomorbid diagnoses should be considered.Children with ASD should undergo a multidisciplinary assessment, including a physical examination, a hearingscreen, communication and psychological tests, and genetic testing.Clinicians should help families obtain educational and behavioral interventions, such as applied behavioral analysis(ABA) programs.Pharmacotherapy should be offered for specific target symptoms or comorbid conditions.Clinicians should maintain an active role in the planning of long-term treatment.Families should be asked about the use of alternative/complementary treatments.  emedicine.medscape.com/article/912781-print Medication",medscape
103,What is the role of medications in the treatment of autism spectrum disorder (ASD)?,"Medication SummaryThe established therapies for ASD are nonpharmacologic. These therapies may include behavioral, educational, andpsychological treatment. No pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD.However, medication may be effective in the treatment of comorbid disorders, including self-injurious behaviors andmovement disorders.Simultaneous treatment with two or more antipsychotics may be beneficial to treat agitation/irritability, physical aggression,and self-injurious behaviors of patients with ASD, particularly moderately to severely ill males with ASD and intellectualdisability. Generally these treatment regimens are well tolerated without serious adverse events.[199]Second-Generation Antipsychotics",medscape
104,Which medications in the drug class Alpha-2-adrenergic agonists are used in the treatment of Autism Spectrum Disorder?,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD.Clonidine (Catapres Catapres-TTS Kapvay) Clonidine (Catapres Catapres-TTS Kapvay)Clonidine stimulates alpha-2-adrenoreceptors in the brain stem activating an inhibitory neuron which in turn results inreduced sympathetic outflow. These effects result in a decrease in vasomotor tone and heart rate. May aid in the treatmentof agression in children and adolescents. Guanfacine (Intuniv) Guanfacine (Intuniv)Guanfacine an alpha-2-adrenergic agonist may preferentially bind postsynaptic alpha-2A adrenoreceptors in the prefrontalcortex and this preferential binding may improve delay-related firing of prefrontal cortex neurons. As a result guanfacinemay affect behavioral inhibition. It has been used off label to reduce hyperactivity in children. Questions & AnswersOverviewWhat is autism spectrum disorder (ASD)?What are the signs and symptoms of autism spectrum disorder (ASD)?What is the focus of the physical exam for autism spectrum disorder (ASD)?""",medscape
105,Which medications in the drug class Stimulants are used in the treatment of Autism Spectrum Disorder?,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD. Methylphenidate (Ritalin, Quillivant XR, Ritalin LA, Concerta) Methylphenidate is thought to block the reuptake of norepinephrine and dopamine into the presynaptic neuron and increase the release of these monoamines into the extraneuronal space. Methylphenidate is a racemic mixture composed of the d- and l-enantiomers. The d-enantiomer is more pharmacologically active than the l-enantiomer.",medscape
106,Which medications in the drug class SSRI Antidepressants are used in the treatment of Autism Spectrum Disorder?,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD. Fluoxetine (Prozac) Fluoxetine (Prozac)Fluoxetine selectively inhibits presynaptic serotonin reuptake with minimal or no effect on the reuptake of norepinephrineand dopamine. emedicine.medscape.com/article/912781-print Citalopram (Celexa)Citalopram (Celexa)Citalopram enhances serotonin activity by selective reuptake inhibition of serotonin at the neuronal membrane. Dose-dependent QT prolongation has been reported with citalopram.[149 150] . This agent is contraindicated in patients withcongenital long QT syndrome. Escitalopram (Lexapro) Escitalopram is an S-enantiomer of citalopram. The mechanism of action is thought to be potentiation of serotonergic activity in the central nervous system (CNS), resulting from the inhibition of CNS neuronal reuptake of serotonin.",medscape
107,Which medications in the drug class Second-Generation Antipsychotics are used in the treatment of Autism Spectrum Disorder?,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD. Risperidone (Risperdal, Risperdal Consta, Risperdal M-Tab) Risperidone (Risperdal, Risperdal Consta, Risperdal M-Tab)Risperidone is an atypical antipsychotic agent that is indicated for irritability associated with ASD in children and adolescentsaged 5-16 years. Risperidone is a mixed serotonin-dopamine antagonist that binds to 5-HT2 with very high affinity and bindsto the dopamine D2 receptor with less affinity. Affinity for the dopamine D2 receptor is 20 times lower than that for the 5-HT2receptor. Risperidone is FDA approved for irritability and aggression in children with ASD, 5 years and older. The combination of serotonin antagonism and dopamine antagonism is thought to improve negative symptoms of psychosesand reduce the incidence of extrapyramidal side effects in comparison with conventional antipsychotics. Aripiprazole (Abilify, Abilify MyCite) Aripiprazole (Abilify, Abilify MyCite)Aripiprazole is indicated for irritability associated with ASD in children and adolescents aged 6-17 years. Aripiprazole isthought to be a partial dopamine (D2) and serotonin (5-HT1A) agonist, and to antagonize serotonin (5-HT2A). Aripiprazole isavailable as a tablet, an orally disintegrating tablet, or an oral solution. Ziprasidone (Geodon) Ziprasidone, a second-generation antipsychotic drug, is used off-label to treat serious behavior disorders associated with ASD, such as self-injurious behavior. It elicits its effects through antagonism of D2, D3, 5-HT2A, 5-HT2C, 5-HT1A, 5-HT1D, and alpha1-adrenergic receptors. In addition, it has a moderate antagonistic effect for histamine H1. It moderately inhibits the reuptake of serotonin and norepinephrine.",medscape
108,My daughter is 2 years old and was recently diagnosed with autism. I have some family members who keep insisting she’s just delayed. Can you give me any suggestions for how to respond to them,Your situation is very common in families of children diagnosed with special needs most especially autism. There are so many emotional processes that are occurring for the family as a unit and for each family member individually after getting this diagnosis. Of course there is the initial shock that can send you spiraling into a true grieving process and each of you in the family will work through this in your own time frame. Part of that process includes a stage of denial as particularly seen from family members who aren’t living with your child day-to-day. It’s probable that it will take them longer to come to terms with the diagnosis. In addition to everything else you are doing you must also remain patient for this to happen. Family members who love your child will benefit most from learning about autism so they can adapt their interactions and expectations to more appropriate levels. There are also professionals and effective support groups in your community who have a lot of experience and expertise in understanding this process. They may be able to provide you and your extended family with assistance.,parent_guid
109,My husband refuses to accept the diagnosis and will not attend appointments with our doctor. What can I do,This is not uncommon where one parent accepts the diagnosis and the other is in denial. Denial happens both to fathers and mothers. As difficult as it may be for you at a time like this you must be patient and supportive. Your spouse will eventually work through his or her denial. Meanwhile you might try to recommend a book or share an article about autism but be careful not to pressure. Most people need to do this on their own terms.,parent_guid
110,Since my son was diagnosed I’ve felt overwhelmed and I can’t even bring myself to read anything about autism,Being an advocate for your child with autism will most likely be a lifelong activity. Early on when faced with the diagnosis parents are easily overwhelmed by the news. They feel confused fearful and angry. Many tire easily as they try to cope. It is helpful to remember that you are not alone that others are going through this so there is support available for you. Keep a folder of articles and other information material so that when you are able to read it you will have it available. Pace yourself and in time you will do what needs to be done and your efforts over time will make a difference,parent_guid
111,My family’s involvement in church is important to us. How do I get my church to be more accepting of my son,For many people including those members of your church autism is not something they may have experience with or adequate information about so you must help educate them. A good place to start is with your pastor or minister. See what he or she knows and offer information as needed. Sometimes a leader will incorporate the related issues into a sermon or lesson. He or she can also suggest folks who can be approached as more open to learning about autism. Then suggest the church invite a professional to do a workshop on special needs children with emphasis on the challenges associated with autism. Suggest the church develop a plan to accommodate special needs children in their various activities such as the Sunday school classes the worship service the choir etc. At some point it may be helpful to bring in a behavioral specialist to work with and train the staff. It may mean asking teachers parents and other trained professionals in the church to volunteer time helping out in Sunday school modifying the lessons etc. Get your community involved and they will thank you later!Once members of your congregation are given accurate information they will become more open and supportive. You may have to suggest ways they can become involved with your child and with advocacy organizations. There are so many opportunities for the religious community to get involved and to partner with parents. As advocates parents have a unique opportunity to lead the charge.,parent_guid
112,How do I know everything possible is being done for my child? Sometimes it seems like not enough progress is being made,Almost daily every parent with a child with autism asks this question: is there more that can be done to help my child? We work as hard as we can yet very often we feel as though we aren’t doing enough. It is also easy for us to project this on to others involved in our child’s life. In fact historically not enough has been done and in many ways more should be done in today’s world. This is what advocacy is all about. We must continue to push for the best treatments and services available,parent_guid
113,Is there any financial assistance available to assist in the care and education for our child with autism,Financial difficulty is one of the biggest stressors that families with special needs children face. There seems to never be enough funding or financial help available and each family often finds that their own resources are stretched by providing for their child with little hope of reimbursement for all that gets spent.The primary funding source for your child’s services is mandated through a United States federal law the Individuals with Disabilities Education Act (IDEA). IDEA governs how states and public agencies provide early intervention special education and related services to children with disabilities. In addition your family’s medical insurance may reimburse you for autism services such as speech therapy or behavioral health treatment such as Applied Behavior Analysis. Start by speaking with the human resources department where you or your spouse work and inquire about insurance reimbursement for autism services. Many states now have government agencies monitoring the health insurance industry so this can be a back-up resource to explore benefits as needed. Continuing to advocate for increased funding by the government and by the insurance industry is important. For more information about autism insurance reform in your state visit the Autism Speaks website.,parent_guid
114,My wife and I worry that over time our other children will develop deep resentments for all the attention and “special treatment” their brother gets and this could negatively impact their lives. Do you have any suggestions for raising our other children so they don’t feel resentment,Sibling rivalry occurs in all families with more than one child and it can be especially complex when it involves a child with special needs. There is no way to avoid giving some extra attention and treatment to a child with autism. For siblings of children with autism these feelings may develop early because the children may be together all the time. Constantly checking in with your other children about how they are doing what they need etc. is a good start. Finding time to be with each child individually also helps immensely when possible. Involving grandparents aunts uncles trusted neighbors etc. may help as well. Children at various ages have the capacity to understand the special needs of someone else if you take the time to explain in terms they will understand. Explain behaviors they see in their brother or sister and why you respond differently to deal with these situations. While you don’t want them to become surrogate parents they do need to know some basic explanations. Also creating a safe space for them to talk about their feelings with you or with others can prevent later development of toxic resentments. Helping your other children find successful ways to play or interact with their brother or sister is powerful. Siblings may sometimes feel guilty because they do feel resentment and anger or even just because they are “normal” while their brother or sister is not. Guilt and resentment are normal growing up issues made more complex often because of a special needs sibling. But like any feeling they can be talked about and processed so that your other children move forward in their own emotional development and life journeys.,parent_guid
